ENSG00000198888	MT-ND1	4535
ENSG00000198763	MT-ND2	4536
ENSG00000198804	MT-CO1	4512
ENSG00000198712	MT-CO2	4513
ENSG00000228253	MT-ATP8	4509
ENSG00000198899	MT-ATP6	4508
ENSG00000198938	MT-CO3	4514
ENSG00000198840	MT-ND3	4537
ENSG00000212907	MT-ND4L	4539
ENSG00000198886	MT-ND4	4538
ENSG00000198786	MT-ND5	4540
ENSG00000198695	MT-ND6	4541
ENSG00000198727	MT-CYB	4519
ENSG00000140323	DISP2	NM_033510
ENSG00000140323	DISP2	
ENSG00000140323	DISP2	
ENSG00000140323	DISP2	
ENSG00000152213	ARL11	NM_138450
ENSG00000152213	ARL11	
ENSG00000278558	TMEM191B	NM_001242313
ENSG00000278558	TMEM191B	
ENSG00000278558	TMEM191B	
ENSG00000278558	TMEM191B	
ENSG00000278558	TMEM191B	
ENSG00000278558	TMEM191B	
ENSG00000278558	TMEM191B	
ENSG00000125775	SDCBP2	
ENSG00000125775	SDCBP2	NM_015685
ENSG00000125775	SDCBP2	NM_001199784
ENSG00000125775	SDCBP2	NM_080489
ENSG00000125775	SDCBP2	
ENSG00000125775	SDCBP2	
ENSG00000227151	PRR20D	NM_001130406
ENSG00000099769	IGFALS	NM_004970
ENSG00000099769	IGFALS	NM_001146006
ENSG00000099769	IGFALS	
ENSG00000036473	OTC	NM_000531
ENSG00000036473	OTC	
ENSG00000154642	C21orf91	NM_001100420
ENSG00000154642	C21orf91	NM_017447
ENSG00000154642	C21orf91	NM_001100421
ENSG00000154642	C21orf91	
ENSG00000154642	C21orf91	
ENSG00000154642	C21orf91	
ENSG00000183145	RIPPLY3	
ENSG00000183145	RIPPLY3	
ENSG00000183145	RIPPLY3	NM_018962
ENSG00000101435	CST9L	NM_080610
ENSG00000101825	MXRA5	NM_015419
ENSG00000089057	SLC23A2	NM_005116
ENSG00000089057	SLC23A2	NM_203327
ENSG00000089057	SLC23A2	
ENSG00000089057	SLC23A2	
ENSG00000089057	SLC23A2	
ENSG00000100014	SPECC1L	
ENSG00000100014	SPECC1L	NM_015330
ENSG00000100014	SPECC1L	
ENSG00000100014	SPECC1L	NM_001254732
