##### SUMMARY #####
True positives:	8
True negatives:	676
False positives:	3
False negatives:	50


Precision:	0.727272727273
Recall:	0.137931034483
F1 score:	0.231884057971


##### JOHANNES #####
True positives:	2
True negatives:	136
False positives:	1
False negatives:	18


Precision:	0.666666666667
Recall:	0.1
F1 score:	0.173913043478


##### yahres #####
True positives:	0
True negatives:	202
False positives:	1
False negatives:	14


Precision:	0.0
Recall:	0.0
F1 score:	N/A (not enough examples)


##### CHLOE #####
True positives:	6
True negatives:	338
False positives:	1
False negatives:	18


Precision:	0.857142857143
Recall:	0.25
F1 score:	0.387096774194


