##### SUMMARY #####
True positives:	10
True negatives:	676
False positives:	3
False negatives:	48


Precision:	0.769230769231
Recall:	0.172413793103
F1 score:	0.281690140845


##### JOHANNES #####
True positives:	1
True negatives:	136
False positives:	1
False negatives:	19


Precision:	0.5
Recall:	0.05
F1 score:	0.0909090909091


##### yahres #####
True positives:	0
True negatives:	202
False positives:	1
False negatives:	14


Precision:	0.0
Recall:	0.0
F1 score:	N/A (not enough examples)


##### CHLOE #####
True positives:	9
True negatives:	338
False positives:	1
False negatives:	15


Precision:	0.9
Recall:	0.375
F1 score:	0.529411764706


