##### SUMMARY #####
True positives:	13
True negatives:	675
False positives:	4
False negatives:	45


Precision:	0.764705882353
Recall:	0.224137931034
F1 score:	0.346666666667


##### JOHANNES #####
True positives:	3
True negatives:	135
False positives:	2
False negatives:	17


Precision:	0.6
Recall:	0.15
F1 score:	0.24


##### yahres #####
True positives:	1
True negatives:	202
False positives:	1
False negatives:	13


Precision:	0.5
Recall:	0.0714285714286
F1 score:	0.125


##### CHLOE #####
True positives:	9
True negatives:	338
False positives:	1
False negatives:	15


Precision:	0.9
Recall:	0.375
F1 score:	0.529411764706


